Day,Rainfall in mm,Runoff + excess runoff in mm,Crop water uptake in mm,Soil moisture in mm,Percolation to groundwater in mm
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,5.25,1.05,4,0.1200000000000001,0.08000000000000007
9,2.25,0.45,1.9200000000000002,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,8.0,1.6,4,1.4400000000000002,0.9600000000000002
13,27.0,8.1,4,9.803999999999998,6.5360000000000005
14,0.0,0.0,4,3.482399999999999,2.3215999999999997
15,0.0,0.0,3.482399999999999,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,0.75,0.15000000000000002,0.6,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.75,0.15000000000000002,0.6,0.0,0.0
20,1.25,0.25,1.0,0.0,0.0
21,6.5,1.3,4,0.7200000000000001,0.4800000000000001
22,43.5,13.049999999999999,4,16.302,10.868000000000002
23,1.0,0.2,4,7.8612,5.2408
24,6.75,1.35,4,5.55672,3.70448
25,0.25,0.05,4,1.0540320000000003,0.7026880000000002
26,0.0,0.0,1.0540320000000003,0.0,0.0
27,16.75,3.35,4,5.640000000000001,3.7600000000000002
28,0.25,0.05,4,1.1040000000000005,0.7360000000000003
29,0.0,0.0,1.1040000000000005,0.0,0.0
30,0.5,0.1,0.4,0.0,0.0
31,1.75,0.35000000000000003,1.4,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0
34,2.0,0.4,1.6,0.0,0.0
35,1.25,0.25,1.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0
37,10.25,2.0500000000000003,4,2.5199999999999996,1.6799999999999997
38,22.25,4.45,4,9.792,6.5280000000000005
39,7.75,1.55,4,7.195200000000001,4.7968
40,23.25,4.65,4,13.07712,8.71808
41,16.0,3.2,4,13.126272,8.750848000000001
42,1.5,0.30000000000000004,4,6.195763199999999,4.1305088
43,9.5,1.9000000000000001,4,5.8774579199999994,3.9183052800000002
44,1.0,0.2,4,1.6064747519999996,1.0709831679999997
45,2.25,0.45,3.4064747519999994,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
47,14.25,2.85,4,4.4399999999999995,2.9600000000000004
48,12.75,2.5500000000000003,4,6.3839999999999995,4.255999999999999
49,11.75,2.35,4,7.070399999999999,4.7136
50,1.75,0.35000000000000003,4,2.6822399999999997,1.78816
51,0.25,0.05,2.88224,0.0,0.0
52,0.5,0.1,0.4,0.0,0.0
53,3.25,0.65,2.6,0.0,0.0
54,6.25,1.25,4,0.6,0.4
55,0.5,0.1,1.0,0.0,0.0
56,3.0,0.6000000000000001,2.4,0.0,0.0
57,33.25,9.975,4,11.564999999999998,7.71
58,0.0,0.0,4,4.538999999999998,3.0259999999999994
59,1.5,0.30000000000000004,4,1.0433999999999988,0.6955999999999993
60,0.0,0.0,1.0433999999999988,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0
